pid,latitude,longitude,height
16099,50.8950822543,14.8759585018,176.9284897113
17464,50.8952669621,14.8733203744,179.7794716723
16717,50.8953141335,14.8757699205,181.5108167679
52478,50.9144664915,14.8727439001,185.3236098106
64719,50.9291971553,14.88147169,218.8434408046
65032,50.9295195064,14.8809810936,219.6894328057
16112,50.895114901,14.8762168906,134.8898688326
16378,50.8951987829,14.8758697141,184.2980258335
52657,50.9146035966,14.8728207333,185.0569005817
16101,50.8950894083,14.8760160316,174.0288809083
12416,50.8912778778,14.8637700121,266.994996958
17830,50.8954533855,14.8737947749,167.2524655611
64926,50.9293910263,14.88097375,217.5969465636
16370,50.8949000483,14.8734500691,183.1763962272
20808,50.896537572,14.8722396248,167.8428102174
17120,50.8954887269,14.8761431672,131.2795322668
49421,50.9112177478,14.8609063514,218.4052350108
16098,50.8950782926,14.8759272001,182.40110671
12412,50.8912245268,14.8633380698,265.3019981797
14956,50.8934969086,14.8682937119,214.02377173
13316,50.8931701384,14.8739109901,189.2463136201
65538,50.9299185289,14.8790413427,215.9568862817
16715,50.8953052139,14.8756979963,183.7554124899
17833,50.8954885721,14.8740800245,169.1946677548
13327,50.9008580693,14.9363130145,182.8497015436
17474,50.8953493755,14.8739864138,170.0787401756
15164,50.893624626,14.8682947118,215.8219037256
25862,50.8989458714,14.8690061108,173.8580345418
19456,50.8961646549,14.8743876662,169.8910136331
17089,50.8951912225,14.8737396689,173.6516016807
9582,50.899470809,14.9458002551,256.3249415266
17489,50.895589099,14.8759272404,164.5899676897
51191,50.9222721513,14.9423901761,231.2599103608
16382,50.8952082237,14.875944889,175.3043032919
53001,50.9148287617,14.8725773191,187.1457523767
17102,50.8954457447,14.8758027051,184.7569100934
16094,50.895075489,14.8759057393,191.0804123268
17832,50.8954813124,14.8740218402,173.4441505756
17487,50.8955853757,14.8758976822,168.7625309228
51858,50.922623564,14.9421354756,234.5196881863
17101,50.8954399582,14.875755926,185.3869429798
12230,50.8911533163,14.8637947407,266.3660986196
18166,50.8956703324,14.8745180423,166.0484278107
16100,50.8950843371,14.8759750837,174.9242592344
38168,50.9048503636,14.8661794809,175.4123430518
15362,50.8947157854,14.8760906115,172.1604548014
4406,50.895333772,14.9432811625,260.2893636693
16725,50.8953404837,14.8759815649,169.0715528665
52107,50.9227766245,14.9423434842,237.5673022077
1417,50.8834604422,14.8810744305,280.0304800214
14958,50.8937074201,14.8699991509,222.5954312541
1635,50.8838699936,14.8802561933,274.6214066305
16104,50.8950950883,14.876061343,169.1938130803
17085,50.8951438017,14.8733558971,175.5039285753
45821,50.9194695728,14.9455411088,225.6726798934
10390,50.8989102452,14.9370794372,218.9210185175
17091,50.8952218621,14.8739878466,173.9072631701
17846,50.8957077952,14.875855524,168.5981588964
18170,50.8958205842,14.8757366448,177.357203757
15607,50.9021310569,14.9352492842,167.1758681524
1789,50.8840732893,14.8798356182,275.5351944105
